# musicals.csv — word,clue
# Musical shows and films: titles, characters, songs, songwriters,
# performers and the language of the theatre.
# Only 3-5 letter words are ever placed on the 5x5 grid; each puzzle needs
# six 5-letter / two 4-letter / two 3-letter answers, so 5s matter most.
# Longer titles (GREASE OLIVER WICKED CHICAGO CABARET HAMILTON) can't be
# used at this grid size — clue them through a shorter part instead.
# Clues must not contain commas — the loader reads row[1] only.

# --- three letters ---
ACT,Part of a show
STYNE,Jule who wrote Funny Girl
ELTON,John who scored The Lion King
JULIE,Andrews of The Sound of Music
KELLY,Gene who danced in the rain
DORIS,Day of Calamity Jane
IDINA,Menzel who sang Let It Go
PATTI,LuPone the Broadway legend
BETTE,Midler the singer and actress
OSCAR,Film award
STAGE,Where it all happens
SCORE,All the music written down
MUSIC,The Sound of ___
SOUND,The ___ of Music
LYRIC,Line of a song's words
VERSE,Part before the chorus
CHORD,Notes played together
NOTES,Marks on the stave
PIANO,Keyboard in the pit
CELLO,Large bowed instrument
FLUTE,Woodwind in the orchestra
BATON,What the conductor waves
TENOR,High male voice
SOLOS,Numbers sung alone
DANCE,Move to the music
STEPS,Routine's moves
PROPS,Things handled on stage
WINGS,Sides of the stage
LINES,What the cast must learn
SCENE,Part of an act
DRAMA,Serious theatre
FARCE,Broad comedy
REVUE,Show of songs and sketches
DEBUT,First appearance
USHER,One who shows you to your seat
FOYER,Theatre entrance hall
MOVIE,Film
SHOES,Dancer's tap pair
SUGAR,A spoonful of ___
JOLLY,___ Holiday from Mary Poppins
ELDER,Book of Mormon missionary
SWING,Performer who covers many roles
CHOIR,Group of singers
ACTOR,One in the cast
EXTRA,Performer with no lines
STARS,Top of the bill
SHOWS,Productions
SONGS,Numbers in a musical
TUNES,Melodies
NIGHT,Opening ___
APRON,Stage front beyond the arch
RISER,Raised platform on stage
BOXES,Private theatre seats
AISLE,Walkway between the seats
BRAVO,Shout at the curtain call
CHEER,What the audience gives
CROWD,The audience
HOUSE,The auditorium and all in it
TRACK,Song on a cast recording
ALBUM,Cast recording
VINYL,Format of an old cast album
RADIO,Where show tunes get played
LIGHT,Stage illumination
SMOKE,Stage effect haze
DRESS,___ rehearsal
BRASS,Trumpets and trombones
DRUMS,Percussion kit
SCALE,Do re mi run
MAJOR,Bright sounding key
MINOR,Sad sounding key
TEMPO,Speed of the music
PITCH,How high or low a note is
RANGE,Span of a singer's voice
STALL,Ground floor theatre seat
ROBIN,Hood who got a musical
TITLE,Name of the show
